logNN.thrstint1_x,logNN.thrstint1_y,logNN.thrstint2_x,logNN.thrstint2_y,logNN.thrstint3_x,logNN.thrstint3_y,logNN.thrstint4_x,logNN.thrstint4_y
79058.,0.,79058.,0.,79058.,631.,79058.,0.
79158.,2314.,79158.,1064.,79158.,916.,79158.,2861.
79258.,3743.,79258.,280.,79258.,0.,79258.,69.
79358.,2515.,79358.,3041.,79358.,5051.,79358.,6648.
79459.,0.,79459.,3127.,79459.,4884.,79459.,300.
79559.,0.,79559.,863.,79559.,0.,79559.,320.
79659.,2717.,79659.,288.,79659.,3892.,79659.,227.
79760.,7333.,79760.,4733.,79760.,5027.,79760.,11189.
79860.,6999.,79860.,6785.,79860.,10014.,79860.,7922.
79960.,9178.,79960.,8129.,79960.,9178.,79960.,8755.
80059.,7991.,80059.,6129.,80059.,9674.,80059.,8842.
80159.,6051.,80159.,6712.,80159.,3116.,80159.,3294.
80259.,3089.,80259.,3486.,80259.,2821.,80259.,2976.
80358.,1238.,80358.,5591.,80358.,2409.,80358.,2344.
80460.,11142.,80460.,4088.,80460.,5243.,80460.,6311.
80560.,6807.,80560.,15207.,80560.,8920.,80560.,15551.
80660.,1140.,80660.,17094.,80660.,3164.,80660.,10853.
80760.,22526.,80760.,19961.,80760.,24761.,80760.,25020.
80860.,23143.,80860.,16078.,80860.,15349.,80860.,18597.
80960.,13592.,80960.,17541.,80960.,12520.,80960.,14258.
81058.,7566.,81058.,9068.,81058.,4363.,81058.,10177.
81158.,3689.,81158.,4685.,81158.,4699.,81158.,234.
81258.,4071.,81258.,521.,81258.,5475.,81258.,1167.
81358.,0.,81358.,0.,81358.,0.,81358.,0.
81458.,5804.,81458.,2568.,81458.,361.,81458.,4442.
81558.,3460.,81558.,258.,81558.,3103.,81558.,0.
81658.,2816.,81658.,4073.,81658.,3450.,81658.,4274.
81758.,3260.,81758.,0.,81758.,0.,81758.,30.
81858.,0.,81858.,0.,81858.,0.,81858.,0.
81958.,0.,81958.,1998.,81958.,4973.,81958.,4393.
82058.,8531.,82058.,6450.,82058.,9820.,82058.,6688.
82158.,7171.,82158.,7319.,82158.,3412.,82158.,6131.
82258.,9359.,82258.,7011.,82258.,4341.,82258.,4829.
82358.,5765.,82358.,6843.,82358.,4762.,82358.,5165.
82458.,2837.,82458.,6881.,82458.,7270.,82458.,4676.
82558.,0.,82558.,3337.,82558.,2674.,82558.,0.
82658.,4212.,82658.,6434.,82658.,2678.,82658.,2023.
82758.,12774.,82758.,2419.,82758.,11441.,82758.,7683.
82858.,4548.,82858.,16471.,82858.,7216.,82858.,15651.
82958.,7477.,82958.,15025.,82958.,14993.,82958.,22582.
83058.,26363.,83058.,21251.,83058.,25307.,83058.,22140.
83158.,21087.,83158.,17289.,83158.,15137.,83158.,17887.
83258.,11536.,83258.,14480.,83258.,11860.,83258.,12319.
83358.,7264.,83358.,6207.,83358.,5421.,83358.,5911.
83458.,4825.,83458.,6132.,83458.,2011.,83458.,7463.
83558.,2869.,83558.,0.,83558.,1499.,83558.,0.
83658.,0.,83658.,1666.,83658.,1629.,83658.,837.
83758.,4699.,83758.,2378.,83758.,841.,83758.,2382.
83858.,3007.,83858.,3189.,83858.,5058.,83858.,5641.
83958.,1561.,83958.,4204.,83958.,5622.,83958.,5832.
84058.,1687.,84058.,661.,84058.,7335.,84058.,4813.
84158.,1233.,84158.,0.,84158.,0.,84158.,0.
84258.,2147.,84258.,4371.,84258.,4302.,84258.,975.
84358.,5282.,84358.,7219.,84358.,7321.,84358.,7640.
84458.,9911.,84458.,8737.,84458.,3141.,84458.,4336.
84558.,10132.,84558.,6585.,84558.,5058.,84558.,7122.
84658.,6491.,84658.,4344.,84658.,3076.,84658.,6799.
84758.,6905.,84758.,3902.,84758.,4400.,84758.,7831.
84858.,2007.,84858.,1720.,84858.,1146.,84858.,2053.
84958.,5382.,84958.,0.,84958.,19244.,84958.,0.
85058.,14231.,85058.,13018.,85058.,8045.,85058.,6904.
85158.,0.,85158.,16598.,85158.,1997.,85158.,13360.
85258.,13476.,85258.,19836.,85258.,20236.,85258.,19973.
85358.,25281.,85358.,20317.,85358.,20725.,85358.,17681.
85458.,20277.,85458.,16886.,85458.,20894.,85458.,18711.
85558.,9596.,85558.,12017.,85558.,12330.,85558.,14647.
85658.,7376.,85658.,6210.,85658.,5280.,85658.,4005.
85758.,2899.,85758.,2948.,85758.,5718.,85758.,4822.
85858.,1183.,85858.,0.,85858.,0.,85858.,0.
85958.,2639.,85958.,2341.,85958.,0.,85958.,3237.
86058.,3166.,86058.,1278.,86058.,994.,86058.,179.
86158.,4322.,86158.,2171.,86158.,2933.,86158.,7460.
86258.,1708.,86258.,2438.,86258.,867.,86258.,4322.
86358.,2381.,86358.,0.,86358.,0.,86358.,141.
86458.,703.,86458.,0.,86458.,6261.,86458.,0.
86558.,2363.,86558.,4530.,86558.,6106.,86558.,6269.
86658.,7802.,86658.,6807.,86658.,4186.,86658.,7369.
86758.,5470.,86758.,8980.,86758.,11873.,86758.,5601.
86858.,7688.,86858.,8701.,86858.,7852.,86858.,3695.
86958.,4418.,86958.,6242.,86958.,6790.,86958.,3788.
87058.,3847.,87058.,4021.,87058.,5501.,87058.,5574.
87158.,0.,87158.,3322.,87158.,3866.,87158.,4655.
87258.,13471.,87258.,5329.,87258.,2176.,87258.,0.
87358.,11979.,87358.,12251.,87358.,13546.,87358.,13556.
87458.,46.,87458.,16019.,87458.,2580.,87458.,13088.
87558.,19326.,87558.,19716.,87558.,19926.,87558.,17840.
87658.,22415.,87658.,17021.,87658.,17851.,87658.,18626.
87758.,16746.,87758.,18672.,87758.,15309.,87758.,11604.
87858.,4998.,87858.,9446.,87858.,6938.,87858.,6693.
87958.,5932.,87958.,6030.,87958.,4538.,87958.,905.
88058.,5163.,88058.,1510.,88058.,5159.,88058.,1641.
88158.,0.,88158.,0.,88158.,0.,88158.,0.
88258.,3460.,88258.,1735.,88258.,1064.,88258.,5844.
88358.,19.,88358.,2579.,88358.,379.,88358.,0.
